USERNAME,DATE,SCORE,REVIEW,PREDICT
PHubbs,"OCT 6, 2024",5,spoiler alert review contains spoiler,1
MrFred05,"SEP 6, 2024",10,spoiler alert review contains spoiler,1
MikeD89,"JUN 21, 2024",10,movie changed life pure cinema jared leto provides performance age academy ’ understand depth one hundred percent list movie time fascinating look would happen took guy street gave three bottle tequila hour write movie favorite part morbius said “ ’ morbin time ” morbed place conclusion piece cinema one movie time list movie ever thank director masterpiece,1
JDax519,"MAY 16, 2024",10,movie made morb theater mom infact thinking making morb right,1
Nicolasyeah,"APR 13, 2024",10,spoiler alert review contains spoiler,1
Joeyburger1985,"MAR 23, 2024",2,u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb usfunny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb nny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u funny morb u,1
ElRankerXD,"MAR 23, 2024",10,e hora de morbosear xdxdxxdedxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxd,0
Melo51,"MAR 8, 2024",1,oh god meme werent enough save movie acting poor special effect looked terrible story trash character forgettable jared leto insufferable work behind scene shocking see trailer misleading get watch thinking connecting cinematic universe isnt,0
Instinct9279,"MAR 5, 2024",6,saw popped disney watched bus ride alright best hearing meme expecting worse pleasantly surprised cgi looked straight 2005 dialogue bit clunky time god joke painfully unfunny fight scene kind cool though ’ miracle one ’ put sleep though,0
Heisenberghamme,"FEB 13, 2024",10,movie changed life mastepeace cant help tear hear world morbin time,1
